council,session_id,session_datetime,body_name,normalized_body_name,cdp_url,minutes_pdf_url,source_video_url
richmond,407e195ad566,2021-01-25 23:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/86ed764a5f06?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/1/3700_M_City_Council_21-01-25_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/d3fc0e65a43e45cc50cf8caefbff195d815ff183362821fac264dfdc5490ab2a-video.mp4?alt=media
richmond,273f5654256d,2021-02-08 19:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/6955525174dc?s=0,,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/fa3c45999fae66f8d2892472d42a4073ea10ce2c894a3fa412654f26018121da-video.mp4?alt=media
richmond,c5227f97a3f6,2021-05-05 21:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/ef58dc118c3e?s=0,,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/cd5ab1f2ef74a0fa39ebdddd58c7f13a8563a6c72d7d83878e7adb985bb52601-video.mp4?alt=media
richmond,01ed3776dea4,2021-07-26 22:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/5cd7b418eb6f?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/7/3738_M_City_Council_21-07-26_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/b4fe29c6f9865c26f99af44ea5e3e8235ee2ce4cd6297bf28d85b240b6410e84-video.mp4?alt=media
richmond,8a50286a2f8f,2021-09-20 17:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/1e5fff0f8740?s=0,,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/b417f75f07181fdb9dd7ec94c0e5ab2c2b89858fe24d12ff5846a5edb1ce2802-video.mp4?alt=media
richmond,ba053976adb3,2021-09-27 22:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/722203483e0b?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/9/3751_M_City_Council_21-09-27_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/ae216691a7825fdc0beb32d981540da9d90b88b68fcec72e56a74bbad98a7f46-video.mp4?alt=media
richmond,1a5f1f855dd1,2021-10-25 22:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/c9dc85c0ba0b?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/10/3987_M_City_Council_21-10-25_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/a24a09b07f0ca3d5604d130a37069ab80c6380276aa5ada74aa460195b2213cd-video.mp4?alt=media
richmond,7cc92662a3ee,2021-12-21 18:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/67de9dd48e09?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/12/4148_M_City_Council_21-12-21_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/080016f42606c4843628a63bdd642e5e06f90cae4a6b0d629a7af08da0e62bf2-video.mp4?alt=media
richmond,80f37be5c828,2022-01-24 23:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/6d6bde0ab1a7?s=0,https://legistar2.granicus.com/richmondva/meetings/2022/1/3993_M_City_Council_22-01-24_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/27fea368d3a4fdea8610130b89ea1f915de83c069c9362b774ba931a0887d454-video.mp4?alt=media
seattle,f1434b7a9fa2,2021-01-04 22:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/4b889589cd03?s=0,https://legistar2.granicus.com/seattle/meetings/2021/1/4631_M_City_Council_21-01-04_Full_Council_Meeting_Minutes.pdf,https://video.seattle.gov/media/council/council_010421_2022101V.mp4
seattle,d06728d95507,2021-03-01 22:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/0a96936e9597?s=0,https://legistar2.granicus.com/seattle/meetings/2021/3/4686_M_City_Council_21-03-01_Full_Council_Meeting_Minutes.pdf,https://video.seattle.gov/media/council/council_030121_2022117V.mp4
seattle,fa9ac4ff08dc,2021-03-15 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/dab6b8139cf7?s=0,https://legistar2.granicus.com/seattle/meetings/2021/3/4699_M_City_Council_21-03-15_Full_Council_Meeting_Minutes.pdf,https://video.seattle.gov/media/council/council_031521_2022121V.mp4
seattle,761c96b234f3,2021-03-29 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/ca4517b2298f?s=0,https://legistar2.granicus.com/seattle/meetings/2021/3/4712_M_City_Council_21-03-29_Full_Council_Meeting_Minutes.pdf,https://video.seattle.gov/media/council/council_032921_2022125V.mp4
seattle,76754f63fed9,2021-05-03 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/4d171b7191c9?s=0,https://legistar2.granicus.com/seattle/meetings/2021/5/4746_M_City_Council_21-05-03_Full_Council_Meeting_Minutes.pdf,https://video.seattle.gov/media/council/council_050321_2022135V.mp4
seattle,9b6de70aa7c9,2021-06-01 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/dab685a125bd?s=0,https://legistar2.granicus.com/seattle/meetings/2021/6/4778_M_City_Council_21-06-01_Full_Council_Meeting_Minutes.pdf,https://video.seattle.gov/media/council/council_060121_2022143V.mp4
seattle,65c787e775e9,2021-06-07 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/6570933a6b4f?s=0,https://legistar2.granicus.com/seattle/meetings/2021/6/4783_M_City_Council_21-06-07_Committee_Minutes.pdf,https://video.seattle.gov/media/council/council_060721_2022145V.mp4
seattle,204cf8da20b4,2021-07-12 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/63c63c398723?s=0,https://legistar2.granicus.com/seattle/meetings/2021/7/4811_M_City_Council_21-07-12_Full_Council_Meeting_Minutes.pdf,https://video.seattle.gov/media/council/council_071221_2022155V.mp4
seattle,1a60d7dba27c,2021-07-26 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/f9dfc503bab3?s=0,https://legistar2.granicus.com/seattle/meetings/2021/7/4824_M_City_Council_21-07-26_Full_Council_Meeting_Minutes.pdf,https://video.seattle.gov/media/council/council_072621_2022159V.mp4
seattle,55a112ec2038,2021-08-02 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/2eb693d12b93?s=0,https://legistar2.granicus.com/seattle/meetings/2021/8/4834_M_City_Council_21-08-02_Full_Council_Meeting_Minutes.pdf,https://video.seattle.gov/media/council/council_080221_2022161V.mp4
seattle,7f74c8c60869,2021-10-11 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/e30e1c9b3da7?s=0,https://legistar2.granicus.com/seattle/meetings/2021/10/4892_M_City_Council_21-10-11_Full_Council_Meeting_Minutes.pdf,https://video.seattle.gov/media/council/council_101121_2022177V.mp4
seattle,03f050e4b9fd,2021-10-18 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/a45e6d584119?s=0,https://legistar2.granicus.com/seattle/meetings/2021/10/4893_M_City_Council_21-10-18_Full_Council_Meeting_Minutes.pdf,https://video.seattle.gov/media/council/council_101821_2022179V.mp4
seattle,fac21bef0fe4,2022-01-04 22:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/b9dc471d7896?s=0,https://legistar2.granicus.com/seattle/meetings/2022/1/4940_M_City_Council_22-01-04_Full_Council_Meeting_Minutes.pdf,https://video.seattle.gov/media/council/council_010422_2022201V.mp4
seattle,cabba986bb94,2022-02-15 22:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/11da3ccb7711?s=0,https://legistar2.granicus.com/seattle/meetings/2022/2/5003_M_City_Council_22-02-15_Full_Council_Meeting_Minutes.pdf,https://video.seattle.gov/media/council/council_021522_2022213V.mp4
seattle,4c0dd83be2e8,2022-03-29 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/a6c516da1a2a?s=0,https://legistar2.granicus.com/seattle/meetings/2022/3/5062_M_City_Council_22-03-29_Full_Council_Meeting_Minutes.pdf,https://video.seattle.gov/media/council/council_032922_2022225V.mp4
