council,session_id,session_datetime,body_name,normalized_body_name,cdp_url,minutes_pdf_url,source_video_url,transcript_as_csv_path
oakland,b99616e87f38,2020-01-14 19:30:00+00:00,*Public Works Committee,other,https://councildataproject.org/oakland/#/events/9beb356762be?s=0,https://oakland.legistar1.com/oakland/meetings/2020/1/8337_M__Public_Works_Committee_20-01-14_Meeting_Minutes.pdf,https://archive-video.granicus.com/oakland/oakland_d7f0ad4c-5110-4026-9187-f8eaef21a934.mp4,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-9beb356762be/session-b99616e87f38/transcript.csv
oakland,e50e941cb927,2022-01-11 21:30:00+00:00,*Public Safety Committee,other,https://councildataproject.org/oakland/#/events/103bb5b9ac2d?s=0,https://oakland.legistar1.com/oakland/meetings/2022/1/8635_M__Public_Safety_Committee_22-01-11_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/87192f67a4c9386ffe41f9aaa402d964c998c1fdbb375d00c0160fe685dae558-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-103bb5b9ac2d/session-e50e941cb927/transcript.csv
oakland,e411abf39fea,2020-09-17 18:00:00+00:00,*Rules & Legislation Committee,other,https://councildataproject.org/oakland/#/events/3aef2fe410e3?s=0,https://oakland.legistar1.com/oakland/meetings/2020/9/8423_M__Rules___Legislation_Committee_20-09-17_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/f48540aa0fdac9d9be1bc020c5f2cd42ea33f281ac2e19c36fdf84744a929064-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-3aef2fe410e3/session-e411abf39fea/transcript.csv
oakland,23317fc4033e,2022-03-31 17:30:00+00:00,*Rules & Legislation Committee,other,https://councildataproject.org/oakland/#/events/7f38b8b17776?s=0,https://oakland.legistar1.com/oakland/meetings/2022/3/8683_M__Rules___Legislation_Committee_22-03-31_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/2ad360a69af893657dffdc5a28cda862bbb9c36a342a6db6d136b3f042dde9a8-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-7f38b8b17776/session-23317fc4033e/transcript.csv
oakland,e6355db8ae16,2020-05-19 20:30:00+00:00,* Concurrent Meeting of the Oakland Redevelopment Successor Agency and the City Council,full council,https://councildataproject.org/oakland/#/events/d18d0e081a6e?s=0,https://oakland.legistar1.com/oakland/meetings/2020/5/8399_M___Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_and_the_City_Council_20-05-19_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/117cd319f2036f6513cdbffc22bc51de355baaa725184c030ca11090ac92dc0a-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-d18d0e081a6e/session-e6355db8ae16/transcript.csv
oakland,3a68edd6f3d4,2020-07-06 20:30:00+00:00,*Special Life Enrichment Committee,other,https://councildataproject.org/oakland/#/events/db42b0d9bf67?s=0,https://oakland.legistar1.com/oakland/meetings/2020/7/8406_M__Special_Life_Enrichment_Committee_20-07-06_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/a89362365a48cb7206f12b371e775b700755327e1a834dbd9b947bca8d51f72f-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-db42b0d9bf67/session-3a68edd6f3d4/transcript.csv
oakland,03bf3a73b894,2020-01-14 17:30:00+00:00,Concurrent Meeting of the Oakland Redevelopment Successor Agency and Finance and Management Committee,other,https://councildataproject.org/oakland/#/events/2f47b46ac32c?s=0,https://oakland.legistar1.com/oakland/meetings/2020/1/8334_M_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_and_Finance_and_Management_Committee_20-01-14_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/2b968746f944c9d3e884cb779c6aacea78ed183b67aaef4ec4387af9a4113418-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-2f47b46ac32c/session-03bf3a73b894/transcript.csv
oakland,e9178ba90b38,2021-05-06 17:30:00+00:00,*Rules & Legislation Committee,other,https://councildataproject.org/oakland/#/events/13118b613a08?s=0,https://oakland.legistar1.com/oakland/meetings/2021/5/8529_M__Rules___Legislation_Committee_21-05-06_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/e0270fe0c2f353b16ed895899ae142e0adbda916540c9d90b1784dbd9919db1c-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-13118b613a08/session-e9178ba90b38/transcript.csv
oakland,dd395a92b3ae,2020-06-22 20:30:00+00:00,*Special Rules and Legislation Committee,other,https://councildataproject.org/oakland/#/events/994c60473242?s=0,https://oakland.legistar1.com/oakland/meetings/2020/6/8411_M__Special_Rules_and_Legislation_Committee_20-06-22_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/f4547ce1b90583d802fc0d5c6e68af42fa8df1f0c4217e8cd55bdbc665153b24-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-994c60473242/session-dd395a92b3ae/transcript.csv
oakland,a8cdb7d35a88,2021-05-04 20:30:00+00:00,* Concurrent Meeting of the Oakland Redevelopment Successor Agency and the City Council,full council,https://councildataproject.org/oakland/#/events/b664cfb5202c?s=0,https://oakland.legistar1.com/oakland/meetings/2021/5/8528_M___Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_and_the_City_Council_21-05-04_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/a09bba85fda4064967af2d053b2142b3bd937f189fe0804b0c954d9d0f274838-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-b664cfb5202c/session-a8cdb7d35a88/transcript.csv
